"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"2827";"01";"CABINDA";"2";"/293/2/1/";"/293/2/"
"2828";"0101";"CABINDA";"4";"/293/2/1/1/";"/293/2/1/"
"3327";"010101";"CABINDA";"8";"/293/2/1/1/1/";"/293/2/1/1/"
"251797";"2056";"JUNTO DA ADMINISTRAÇÃO MUNICIPAL";"64";"/293/2/1/1/1/1/";"/293/2/1/1/1/"
"251798";"1";"MESA 1";"128";"/293/2/1/1/1/1/1/";"/293/2/1/1/1/1/"
"690516";"2";"MESA 2";"128";"/293/2/1/1/1/1/2/";"/293/2/1/1/1/1/"
"690517";"3";"MESA 3";"128";"/293/2/1/1/1/1/3/";"/293/2/1/1/1/1/"
"251815";"2065";"ESCOLA SECUNDÁRIA DO 1º CICLO SAYDI MINGAS";"64";"/293/2/1/1/1/10/";"/293/2/1/1/1/"
"251816";"1";"MESA 1";"128";"/293/2/1/1/1/10/1/";"/293/2/1/1/1/10/"
"690532";"2";"MESA 2";"128";"/293/2/1/1/1/10/2/";"/293/2/1/1/1/10/"
"690533";"3";"MESA 3";"128";"/293/2/1/1/1/10/3/";"/293/2/1/1/1/10/"
"690534";"4";"MESA 4";"128";"/293/2/1/1/1/10/4/";"/293/2/1/1/1/10/"
"690535";"5";"MESA 5";"128";"/293/2/1/1/1/10/5/";"/293/2/1/1/1/10/"
"690707";"2155";"ESCOLA 1º CICLO DA SANTA CATARINA";"64";"/293/2/1/1/1/100/";"/293/2/1/1/1/"
"690708";"1";"MESA 1";"128";"/293/2/1/1/1/100/1/";"/293/2/1/1/1/100/"
"690709";"2";"MESA 2";"128";"/293/2/1/1/1/100/2/";"/293/2/1/1/1/100/"
"690710";"3";"MESA 3";"128";"/293/2/1/1/1/100/3/";"/293/2/1/1/1/100/"
"690711";"4";"MESA 4";"128";"/293/2/1/1/1/100/4/";"/293/2/1/1/1/100/"
"690712";"5";"MESA 5";"128";"/293/2/1/1/1/100/5/";"/293/2/1/1/1/100/"
"690713";"2156";"ESCOLA 1º CICLO DA SANTA CATARINA (2)";"64";"/293/2/1/1/1/101/";"/293/2/1/1/1/"
"690714";"1";"MESA 1";"128";"/293/2/1/1/1/101/1/";"/293/2/1/1/1/101/"
"690715";"2";"MESA 2";"128";"/293/2/1/1/1/101/2/";"/293/2/1/1/1/101/"
"690716";"3";"MESA 3";"128";"/293/2/1/1/1/101/3/";"/293/2/1/1/1/101/"
"690717";"4";"MESA 4";"128";"/293/2/1/1/1/101/4/";"/293/2/1/1/1/101/"
"690718";"5";"MESA 5";"128";"/293/2/1/1/1/101/5/";"/293/2/1/1/1/101/"
"690719";"2157";"ESCOLA PRIMÁRIA CAIO LITORAL";"64";"/293/2/1/1/1/102/";"/293/2/1/1/1/"
"690720";"1";"MESA 1";"128";"/293/2/1/1/1/102/1/";"/293/2/1/1/1/102/"
"690721";"2";"MESA 2";"128";"/293/2/1/1/1/102/2/";"/293/2/1/1/1/102/"
"690722";"2158";"ESCOLA PRIMARIA DE CHIBODO";"64";"/293/2/1/1/1/103/";"/293/2/1/1/1/"
"690723";"1";"MESA 1";"128";"/293/2/1/1/1/103/1/";"/293/2/1/1/1/103/"
"690724";"2";"MESA 2";"128";"/293/2/1/1/1/103/2/";"/293/2/1/1/1/103/"
"690725";"3";"MESA 3";"128";"/293/2/1/1/1/103/3/";"/293/2/1/1/1/103/"
"690726";"2159";"ESCOLA PRIMARIA DE CHIBODO (2)";"64";"/293/2/1/1/1/104/";"/293/2/1/1/1/"
"690727";"1";"MESA 1";"128";"/293/2/1/1/1/104/1/";"/293/2/1/1/1/104/"
"690728";"2";"MESA 2";"128";"/293/2/1/1/1/104/2/";"/293/2/1/1/1/104/"
"690729";"3";"MESA 3";"128";"/293/2/1/1/1/104/3/";"/293/2/1/1/1/104/"
"690730";"2163";"ESCOLA PRIMÁRIA DE FORTALEZA";"64";"/293/2/1/1/1/105/";"/293/2/1/1/1/"
"690731";"1";"MESA 1";"128";"/293/2/1/1/1/105/1/";"/293/2/1/1/1/105/"
"690732";"2";"MESA 2";"128";"/293/2/1/1/1/105/2/";"/293/2/1/1/1/105/"
"690733";"3";"MESA 3";"128";"/293/2/1/1/1/105/3/";"/293/2/1/1/1/105/"
"690734";"2164";"ESCOLA PRIMARIA DE TALI SUMBI";"64";"/293/2/1/1/1/106/";"/293/2/1/1/1/"
"690735";"1";"MESA 1";"128";"/293/2/1/1/1/106/1/";"/293/2/1/1/1/106/"
"690736";"2165";"ESCOLA PRIMÁRIA DO CUNGO";"64";"/293/2/1/1/1/107/";"/293/2/1/1/1/"
"690737";"1";"MESA 1";"128";"/293/2/1/1/1/107/1/";"/293/2/1/1/1/107/"
"690738";"2";"MESA 2";"128";"/293/2/1/1/1/107/2/";"/293/2/1/1/1/107/"
"690739";"2166";"ESCOLA DO 1º CICLO DO SUBANTANDO";"64";"/293/2/1/1/1/108/";"/293/2/1/1/1/"
"690740";"1";"MESA 1";"128";"/293/2/1/1/1/108/1/";"/293/2/1/1/1/108/"
"690741";"2";"MESA 2";"128";"/293/2/1/1/1/108/2/";"/293/2/1/1/1/108/"
"690742";"2167";"ESCOLA PRIMÁRIA DE YABI";"64";"/293/2/1/1/1/109/";"/293/2/1/1/1/"
"690743";"1";"MESA 1";"128";"/293/2/1/1/1/109/1/";"/293/2/1/1/1/109/"
"690744";"2";"MESA 2";"128";"/293/2/1/1/1/109/2/";"/293/2/1/1/1/109/"
"251817";"2066";"ESCOLA SECUNDÁRIA DO 1º CICLO SAYDI MINGAS (2)";"64";"/293/2/1/1/1/11/";"/293/2/1/1/1/"
"251818";"1";"MESA 1";"128";"/293/2/1/1/1/11/1/";"/293/2/1/1/1/11/"
"690536";"2";"MESA 2";"128";"/293/2/1/1/1/11/2/";"/293/2/1/1/1/11/"
"690537";"3";"MESA 3";"128";"/293/2/1/1/1/11/3/";"/293/2/1/1/1/11/"
"690538";"4";"MESA 4";"128";"/293/2/1/1/1/11/4/";"/293/2/1/1/1/11/"
"690539";"5";"MESA 5";"128";"/293/2/1/1/1/11/5/";"/293/2/1/1/1/11/"
"690745";"2168";"ESCOLA PRIMÁRIA MBANDA NGIEMBO";"64";"/293/2/1/1/1/110/";"/293/2/1/1/1/"
"690746";"1";"MESA 1";"128";"/293/2/1/1/1/110/1/";"/293/2/1/1/1/110/"
"690747";"2170";"ESCOLA DE PRIMEIRO NÍVEL DE NTUMBA";"64";"/293/2/1/1/1/111/";"/293/2/1/1/1/"
"690748";"1";"MESA 1";"128";"/293/2/1/1/1/111/1/";"/293/2/1/1/1/111/"
"690749";"2171";"ESCOLA DO 1º NÍVEL DO SIAMAZI";"64";"/293/2/1/1/1/112/";"/293/2/1/1/1/"
"690750";"1";"MESA 1";"128";"/293/2/1/1/1/112/1/";"/293/2/1/1/1/112/"
"690752";"2174";"ESCOLA PRIMÁRIA DE TALI CUMA";"64";"/293/2/1/1/1/113/";"/293/2/1/1/1/"
"690753";"1";"MESA 1";"128";"/293/2/1/1/1/113/1/";"/293/2/1/1/1/113/"
"690754";"2177";"ESCOLA PRIMÁRIA DE TALI BECA";"64";"/293/2/1/1/1/114/";"/293/2/1/1/1/"
"690755";"1";"MESA 1";"128";"/293/2/1/1/1/114/1/";"/293/2/1/1/1/114/"
"690756";"2181";"EP 1º C SÃO JOSÉ NGONGO 168";"64";"/293/2/1/1/1/115/";"/293/2/1/1/1/"
"690757";"1";"MESA 1";"128";"/293/2/1/1/1/115/1/";"/293/2/1/1/1/115/"
"690758";"2182";"ESCOLA PRIMARIA DE TCHINZAZI 81";"64";"/293/2/1/1/1/116/";"/293/2/1/1/1/"
"690759";"1";"MESA 1";"128";"/293/2/1/1/1/116/1/";"/293/2/1/1/1/116/"
"690760";"2";"MESA 2";"128";"/293/2/1/1/1/116/2/";"/293/2/1/1/1/116/"
"690761";"2186";"ESCOLA PRIMÁRIA DO TENDEQUELE";"64";"/293/2/1/1/1/117/";"/293/2/1/1/1/"
"690762";"1";"MESA 1";"128";"/293/2/1/1/1/117/1/";"/293/2/1/1/1/117/"
"690763";"2187";"ESCOLA PRIMÁRIA DO PRATA";"64";"/293/2/1/1/1/118/";"/293/2/1/1/1/"
"690764";"1";"MESA 1";"128";"/293/2/1/1/1/118/1/";"/293/2/1/1/1/118/"
"690765";"2189";"ESCOLA PRIMARIA DE LUAVO";"64";"/293/2/1/1/1/119/";"/293/2/1/1/1/"
"690766";"1";"MESA 1";"128";"/293/2/1/1/1/119/1/";"/293/2/1/1/1/119/"
"251819";"2067";"ESCOLA PRIMÁRIA AUGUSTO NGANGULA";"64";"/293/2/1/1/1/12/";"/293/2/1/1/1/"
"251820";"1";"MESA 1";"128";"/293/2/1/1/1/12/1/";"/293/2/1/1/1/12/"
"251821";"2";"MESA 2";"128";"/293/2/1/1/1/12/2/";"/293/2/1/1/1/12/"
"690540";"3";"MESA 3";"128";"/293/2/1/1/1/12/3/";"/293/2/1/1/1/12/"
"690767";"2194";"ESCOLA PRIMARIA DE TCHIMBUANDI";"64";"/293/2/1/1/1/120/";"/293/2/1/1/1/"
"690768";"1";"MESA 1";"128";"/293/2/1/1/1/120/1/";"/293/2/1/1/1/120/"
"690777";"2199";"ESCOLA PRIMARIA DE CHINGUNDO";"64";"/293/2/1/1/1/121/";"/293/2/1/1/1/"
"690778";"1";"MESA 1";"128";"/293/2/1/1/1/121/1/";"/293/2/1/1/1/121/"
"251822";"2068";"ESCOLA PATRICE LUMUMBA";"64";"/293/2/1/1/1/13/";"/293/2/1/1/1/"
"251823";"1";"MESA 1";"128";"/293/2/1/1/1/13/1/";"/293/2/1/1/1/13/"
"251824";"2";"MESA 2";"128";"/293/2/1/1/1/13/2/";"/293/2/1/1/1/13/"
"690541";"3";"MESA 3";"128";"/293/2/1/1/1/13/3/";"/293/2/1/1/1/13/"
"690542";"4";"MESA 4";"128";"/293/2/1/1/1/13/4/";"/293/2/1/1/1/13/"
"251825";"2069";"CINE POPULAR - GIKA";"64";"/293/2/1/1/1/14/";"/293/2/1/1/1/"
"251826";"1";"MESA 1";"128";"/293/2/1/1/1/14/1/";"/293/2/1/1/1/14/"
"251827";"2";"MESA 2";"128";"/293/2/1/1/1/14/2/";"/293/2/1/1/1/14/"
"251828";"3";"MESA 3";"128";"/293/2/1/1/1/14/3/";"/293/2/1/1/1/14/"
"251829";"4";"MESA 4";"128";"/293/2/1/1/1/14/4/";"/293/2/1/1/1/14/"
"251830";"2070";"CINE POPULAR - GIKA (2)";"64";"/293/2/1/1/1/15/";"/293/2/1/1/1/"
"251831";"1";"MESA 1";"128";"/293/2/1/1/1/15/1/";"/293/2/1/1/1/15/"
"251832";"2";"MESA 2";"128";"/293/2/1/1/1/15/2/";"/293/2/1/1/1/15/"
"251833";"3";"MESA 3";"128";"/293/2/1/1/1/15/3/";"/293/2/1/1/1/15/"
"251834";"4";"MESA 4";"128";"/293/2/1/1/1/15/4/";"/293/2/1/1/1/15/"
"251837";"2071";"EMPRESA DE TRANSPORTE PÚBLICO (TENDA)";"64";"/293/2/1/1/1/16/";"/293/2/1/1/1/"
"251838";"1";"MESA 1";"128";"/293/2/1/1/1/16/1/";"/293/2/1/1/1/16/"
"251839";"2";"MESA 2";"128";"/293/2/1/1/1/16/2/";"/293/2/1/1/1/16/"
"251845";"2072";"INSTITUTO MÉDIO POLITÉCNICO DE CABINDA";"64";"/293/2/1/1/1/17/";"/293/2/1/1/1/"
"251846";"1";"MESA 1";"128";"/293/2/1/1/1/17/1/";"/293/2/1/1/1/17/"
"251847";"2";"MESA 2";"128";"/293/2/1/1/1/17/2/";"/293/2/1/1/1/17/"
"251848";"3";"MESA 3";"128";"/293/2/1/1/1/17/3/";"/293/2/1/1/1/17/"
"251852";"2073";"INE - INSTITUTO NORMAL DE EDUCAÇÃO";"64";"/293/2/1/1/1/18/";"/293/2/1/1/1/"
"251853";"1";"MESA 1";"128";"/293/2/1/1/1/18/1/";"/293/2/1/1/1/18/"
"251854";"2";"MESA 2";"128";"/293/2/1/1/1/18/2/";"/293/2/1/1/1/18/"
"251855";"3";"MESA 3";"128";"/293/2/1/1/1/18/3/";"/293/2/1/1/1/18/"
"251856";"4";"MESA 4";"128";"/293/2/1/1/1/18/4/";"/293/2/1/1/1/18/"
"251857";"5";"MESA 5";"128";"/293/2/1/1/1/18/5/";"/293/2/1/1/1/18/"
"251860";"2074";"INE - INSTITUTO NORMAL DE EDUCAÇÃO (2)";"64";"/293/2/1/1/1/19/";"/293/2/1/1/1/"
"251861";"1";"MESA 1";"128";"/293/2/1/1/1/19/1/";"/293/2/1/1/1/19/"
"251862";"2";"MESA 2";"128";"/293/2/1/1/1/19/2/";"/293/2/1/1/1/19/"
"251863";"3";"MESA 3";"128";"/293/2/1/1/1/19/3/";"/293/2/1/1/1/19/"
