"253011";"EXTERIOR";"CREDENCIAMENTO ELEITORAL NO EXTERIOR";"1";"/470/13/";"/470/"
"15818";"BE";"BÉLGICA";"16";"/470/13/1/";"/470/13/"
"15819";"BE.BRU";"BRUXELAS";"32";"/470/13/1/1/";"/470/13/1/"
"596355";"13217";"BRUXELAS";"64";"/470/13/1/1/1/";"/470/13/1/1/"
"596356";"1";"MESA 1";"128";"/470/13/1/1/1/1/";"/470/13/1/1/1/"
"15842";"PT";"PORTUGAL";"16";"/470/13/10/";"/470/13/"
"15843";"PT.OPO";"PORTO";"32";"/470/13/10/1/";"/470/13/10/"
"596405";"13234";"PORTO";"64";"/470/13/10/1/1/";"/470/13/10/1/"
"596406";"1";"MESA 1";"128";"/470/13/10/1/1/1/";"/470/13/10/1/1/"
"596407";"2";"MESA 2";"128";"/470/13/10/1/1/2/";"/470/13/10/1/1/"
"596408";"3";"MESA 3";"128";"/470/13/10/1/1/3/";"/470/13/10/1/1/"
"15845";"PT.LIS";"LISBOA";"32";"/470/13/10/3/";"/470/13/10/"
"596393";"13232";"LISBOA";"64";"/470/13/10/3/1/";"/470/13/10/3/"
"596394";"1";"MESA 1";"128";"/470/13/10/3/1/1/";"/470/13/10/3/1/"
"596395";"2";"MESA 2";"128";"/470/13/10/3/1/2/";"/470/13/10/3/1/"
"596396";"3";"MESA 3";"128";"/470/13/10/3/1/3/";"/470/13/10/3/1/"
"596397";"4";"MESA 4";"128";"/470/13/10/3/1/4/";"/470/13/10/3/1/"
"596398";"5";"MESA 5";"128";"/470/13/10/3/1/5/";"/470/13/10/3/1/"
"596399";"13233";"LISBOA (2)";"64";"/470/13/10/3/2/";"/470/13/10/3/"
"596400";"1";"MESA 1";"128";"/470/13/10/3/2/1/";"/470/13/10/3/2/"
"596401";"2";"MESA 2";"128";"/470/13/10/3/2/2/";"/470/13/10/3/2/"
"596402";"3";"MESA 3";"128";"/470/13/10/3/2/3/";"/470/13/10/3/2/"
"596403";"4";"MESA 4";"128";"/470/13/10/3/2/4/";"/470/13/10/3/2/"
"596404";"5";"MESA 5";"128";"/470/13/10/3/2/5/";"/470/13/10/3/2/"
"15854";"ZA";"ÁFRICA DO SUL";"16";"/470/13/11/";"/470/13/"
"15855";"ZA.PRY";"PRETÓRIA";"32";"/470/13/11/1/";"/470/13/11/"
"596351";"13215";"PRETÓRIA";"64";"/470/13/11/1/1/";"/470/13/11/1/"
"596352";"1";"MESA 1";"128";"/470/13/11/1/1/1/";"/470/13/11/1/1/"
"15856";"ZA.CPT";"CAPE TOWN";"32";"/470/13/11/2/";"/470/13/11/"
"596346";"13213";"CAPE TOWN";"64";"/470/13/11/2/1/";"/470/13/11/2/"
"596347";"1";"MESA 1";"128";"/470/13/11/2/1/1/";"/470/13/11/2/1/"
"596348";"2";"MESA 2";"128";"/470/13/11/2/1/2/";"/470/13/11/2/1/"
"15858";"ZA.JNB";"JOANESBURGO";"32";"/470/13/11/4/";"/470/13/11/"
